location_id,name,chain,phone,address1,address2,city,state,zip,latitude,longitude
70100011,Fred Meyer - Anchorage,FRED,9072649600,1000 E Northern Lights Blvd,,Anchorage,AK,99508,61.1944795,-149.8638144
70100071,Fred Meyer - Dimond,FRED,9072676700,2000 W Dimond Blvd,,Anchorage,AK,99515,61.1360204,-149.9193
70100018,Fred Meyer - Muldoon,FRED,9072691700,7701 Debarr Rd,,Anchorage,AK,99504,61.2115203,-149.736778
70100656,Fred Meyer - Southeast Anchorage,FRED,9073652000,2300 Abbott Rd,,Anchorage,AK,99507,61.135933,-149.8384764
70100668,Fred Meyer - Eagle River,FRED,9076894000,13401 Old Glenn Hwy,,Eagle River,AK,99577,61.341355,-149.55534
70100224,Fred Meyer - East Fairbanks,FRED,9074594200,930 Old Steese Hwy Ste A,,Fairbanks,AK,99701,64.8547239,-147.6904112
70100485,Fred Meyer - West Fairbanks,FRED,9074741400,1384 S University Ave,,Fairbanks,AK,99709,64.835321,-147.817606
70100158,Fred Meyer - Juneau,FRED,9077896500,8181 Glacier Hwy,,Juneau,AK,99801,58.3594856,-134.561529
70100649,Fred Meyer - Palmer,FRED,9077070400,535 E Palmer Wasilla Hwy,,Palmer,AK,99645,61.600669,-149.124516
70100017,Fred Meyer - Soldotna,FRED,9072602200,43843 Sterling Hwy,,Soldotna,AK,99669,60.4895056,-151.049127
70100653,Fred Meyer - Wasilla,FRED,9073525000,1501 E Parks Hwy,,Wasilla,AK,99654,61.5795419,-149.4091169
01100260,Kroger - Corner Village,KROGER,3348211325,300 N Dean Rd,,Auburn,AL,36830,32.6105645,-85.463195
540FC242,Kroger - - Birmingham Spoke,KROGER,9999999999,30 W Oxmoor Rd,,Birmingham,AL,35209,33.453709,-86.843681
02600854,Kroger - Decatur,KROGER,2563509770,1101 Beltline RD SE STE A,,Decatur,AL,35601,34.5601579,-86.9763541
02600894,Kroger - Crestwood Shopping Center,KROGER,2567736413,241 Highway 31 SW Ste K,,Hartselle,AL,35640,34.4394583,-86.9428297
01100923,Kroger - Birmingham Loyalty,KROGER,9999999999,14 W Oxmoor Rd,,Homewood,AL,35209,33.458949,-86.840492
02600517,Kroger - Kroger Moores Mill Road Huntsville,KROGER,2568525770,6070 Moores Mill Rd,,Huntsville,AL,35811,34.800504,-86.534893
02600508,Kroger - Kroger Oakwood Ave Huntsville,KROGER,2565360715,2110 Oakwood Ave Nw,,Huntsville,AL,35810,34.750633,-86.600692
02600849,Kroger - Logan Square,KROGER,2568815696,8404 Memorial Pkwy Sw,,Huntsville,AL,35802,34.6566463,-86.5712873
02600677,Kroger - Watercress,KROGER,2567260600,7090 Highway 72 W,,Huntsville,AL,35806,34.757011,-86.711877
01100310,Kroger - Lanett,KROGER,3346442100,1401 S Gilmer Ave,,Lanett,AL,36863,32.855689,-85.190821
02600606,Kroger - Kroger County Line Rd,KROGER,2568704350,8855 Highway 72 W,,Madison,AL,35758,34.744504,-86.784721
02600605,Kroger - Midtown Marketplace,KROGER,2564610914,4579 Wall Triana Hwy,,Madison,AL,35758,34.7087169,-86.7488221
01100631,Kroger - Tiger Town,KROGER,3347372643,2460 Enterprise Dr,,Opelika,AL,36801,32.6207323,-85.4116953
02500687,Kroger - Batesville AR,KROGER,8707932143,303 S Saint Louis St,,Batesville,AR,72501,35.7761297,-91.639709
02500637,Kroger - Benton - Military Rd,KROGER,5017760301,1410 Military Rd,,Benton,AR,72015,34.578061,-92.5776107
02500629,Kroger Marketplace - Benton Marketplace,KROGER,5015743880,20820 Interstate 30 N,,Benton,AR,72019,34.61071,-92.53078
02500465,Kroger - Blytheville,KROGER,8707637524,400 W Moultrie Dr,,Blytheville,AR,72315,35.9371785,-89.9069518
02500613,Kroger - Cabot,KROGER,5016285185,1295 W Main St,,Cabot,AR,72023,34.9752199,-92.028805
02500652,Kroger - Conway - Oak St,KROGER,5013298009,101 Oak St,,Conway,AR,72032,35.0904062,-92.4284337
02500625,Kroger Marketplace - Conway Marketplace,KROGER,5013293628,855 Salem Rd,,Conway,AR,72034,35.089251,-92.4723198
02500619,Kroger - Hot Springs - Airport,KROGER,5016233340,215 Airport Rd,,Hot Springs,AR,71913,34.4882784,-93.087213
02500590,Kroger - Hot Springs - Central,KROGER,5016240259,3341 Central Ave,,Hot Springs,AR,71913,34.4738846,-93.0591943
02500621,Kroger - Hot Springs - Mall,KROGER,5015257083,4407 Central Ave,,Hot Springs,AR,71913,34.4503642,-93.0744193
02500614,Kroger - Jacksonville,KROGER,5019820151,103 Gregory Pl,,Jacksonville,AR,72076,34.8791531,-92.1101049
02500409,Kroger Marketplace - Jonesboro Marketplace,KROGER,8709729990,1725 S Caraway Rd,,Jonesboro,AR,72401,35.823776,-90.679944
02500582,Kroger - Colony West,KROGER,5012276364,10300 N Rodney Parham Rd,,Little Rock,AR,72227,34.7683326,-92.3879841
02500550,Kroger - E Roosevelt,KROGER,5013750585,1100 E Roosevelt Rd,,Little Rock,AR,72206,34.7248922,-92.2609776
02500627,Kroger - Geyer Springs,KROGER,5015682330,8824 Geyer Springs Rd,,Little Rock,AR,72209,34.6700644,-92.3458356
02500636,Kroger - Hillcrest,KROGER,5016660102,614 Beechwood St,,Little Rock,AR,72205,34.7567667,-92.3248647
02500630,Kroger - Markham,KROGER,5012277262,8415 W Markham St,,Little Rock,AR,72205,34.7518831,-92.3682139
02500644,Kroger - The Heights,KROGER,5016634748,1900 N Polk St,,Little Rock,AR,72207,34.7695589,-92.33521
02500744,Kroger - The Heights Fuel,KROGER,5012744991,6702 Cantrell Rd,,Little Rock,AR,72207,34.7685958,-92.349927
02500622,Kroger Marketplace - Cantrell Marketplace,KROGER,5012254588,14000 Cantrell Rd,,Little Rock,AR,72223,34.804101,-92.428925
02500623,Kroger Marketplace - Chenal Marketplace,KROGER,5012177910,16105 Chenal Pkwy Ste B,,Little Rock,AR,72223,34.7561924,-92.4490834
