upc,pid,categories,brand,description,country_of_origin,favorite,size,unit,gmo,organic,temperature,heat_sensitive,warnings,images
0001111001317,0001111001317,['Bakery'],Bakery Fresh,Bakery Fresh Carrot Cake,CANADA,FALSE,6 in,,NO NON-GMO CLAIM,NO,Refrigerated,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0001111001317', 'https://www.kroger.com/product/images/large/front/0001111001317', 'https://www.kroger.com/product/images/medium/front/0001111001317', 'https://www.kroger.com/product/images/small/front/0001111001317', 'https://www.kroger.com/product/images/thumbnail/front/0001111001317', 'https://www.kroger.com/product/images/xlarge/back/0001111001317', 'https://www.kroger.com/product/images/large/back/0001111001317', 'https://www.kroger.com/product/images/medium/back/0001111001317', 'https://www.kroger.com/product/images/small/back/0001111001317', 'https://www.kroger.com/product/images/thumbnail/back/0001111001317', 'https://www.kroger.com/product/images/xlarge/right/0001111001317', 'https://www.kroger.com/product/images/large/right/0001111001317', 'https://www.kroger.com/product/images/medium/right/0001111001317', 'https://www.kroger.com/product/images/small/right/0001111001317', 'https://www.kroger.com/product/images/thumbnail/right/0001111001317', 'https://www.kroger.com/product/images/xlarge/left/0001111001317', 'https://www.kroger.com/product/images/large/left/0001111001317', 'https://www.kroger.com/product/images/medium/left/0001111001317', 'https://www.kroger.com/product/images/small/left/0001111001317', 'https://www.kroger.com/product/images/thumbnail/left/0001111001317']"
0001111018230,0001111018230,['Bakery'],Bakery Fresh,Bakery Fresh Vanilla Mini Cupcakes,CANADA,FALSE,12 ct / 10 oz,,,NO,Ambient,FALSE,,"['https://www.kroger.com/product/images/xlarge/back/0001111018230', 'https://www.kroger.com/product/images/large/back/0001111018230', 'https://www.kroger.com/product/images/medium/back/0001111018230', 'https://www.kroger.com/product/images/small/back/0001111018230', 'https://www.kroger.com/product/images/thumbnail/back/0001111018230', 'https://www.kroger.com/product/images/xlarge/right/0001111018230', 'https://www.kroger.com/product/images/large/right/0001111018230', 'https://www.kroger.com/product/images/medium/right/0001111018230', 'https://www.kroger.com/product/images/small/right/0001111018230', 'https://www.kroger.com/product/images/thumbnail/right/0001111018230', 'https://www.kroger.com/product/images/xlarge/front/0001111018230', 'https://www.kroger.com/product/images/large/front/0001111018230', 'https://www.kroger.com/product/images/medium/front/0001111018230', 'https://www.kroger.com/product/images/small/front/0001111018230', 'https://www.kroger.com/product/images/thumbnail/front/0001111018230', 'https://www.kroger.com/product/images/xlarge/left/0001111018230', 'https://www.kroger.com/product/images/large/left/0001111018230', 'https://www.kroger.com/product/images/medium/left/0001111018230', 'https://www.kroger.com/product/images/small/left/0001111018230', 'https://www.kroger.com/product/images/thumbnail/left/0001111018230']"
0000000004060,0000000004060,['Produce'],Fresh Broccoli & Cauliflower,Broccoli Bunch,null,FALSE,1 ct,,,,Refrigerated,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0000000004060', 'https://www.kroger.com/product/images/large/front/0000000004060', 'https://www.kroger.com/product/images/medium/front/0000000004060', 'https://www.kroger.com/product/images/small/front/0000000004060', 'https://www.kroger.com/product/images/thumbnail/front/0000000004060']"
0000000004022,0000000004022,"['Produce', 'Produce', 'Produce', 'Produce']",,Kroger® Fresh Seedless Green White Grapes,CHILE; MEXICO; PERU; UNITED STATES,FALSE,1 lb,,,NO,Refrigerated,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0000000004022', 'https://www.kroger.com/product/images/large/front/0000000004022', 'https://www.kroger.com/product/images/medium/front/0000000004022', 'https://www.kroger.com/product/images/small/front/0000000004022', 'https://www.kroger.com/product/images/thumbnail/front/0000000004022', 'https://www.kroger.com/product/images/xlarge/back/0000000004022', 'https://www.kroger.com/product/images/large/back/0000000004022', 'https://www.kroger.com/product/images/medium/back/0000000004022', 'https://www.kroger.com/product/images/small/back/0000000004022', 'https://www.kroger.com/product/images/thumbnail/back/0000000004022']"
0000000004023,0000000004023,"['Produce', 'Produce', 'Produce', 'Produce']",,Kroger® Fresh Seedless Red Grapes,CHILE; MEXICO; PERU; UNITED STATES,FALSE,1 lb,,,NO,Refrigerated,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0000000004023', 'https://www.kroger.com/product/images/large/front/0000000004023', 'https://www.kroger.com/product/images/medium/front/0000000004023', 'https://www.kroger.com/product/images/small/front/0000000004023', 'https://www.kroger.com/product/images/thumbnail/front/0000000004023', 'https://www.kroger.com/product/images/xlarge/back/0000000004023', 'https://www.kroger.com/product/images/large/back/0000000004023', 'https://www.kroger.com/product/images/medium/back/0000000004023', 'https://www.kroger.com/product/images/small/back/0000000004023', 'https://www.kroger.com/product/images/thumbnail/back/0000000004023']"
0001111000862,0001111000862,['Snacks'],Kroger,Kroger® Salted with Sea Salt Mixed Nuts,UNITED STATES,FALSE,10.3 oz,,NO NON-GMO CLAIM,NO,Ambient,FALSE,"Once bag is opened, consume within 7 days for optimum freshness.","['https://www.kroger.com/product/images/xlarge/front/0001111000862', 'https://www.kroger.com/product/images/large/front/0001111000862', 'https://www.kroger.com/product/images/medium/front/0001111000862', 'https://www.kroger.com/product/images/small/front/0001111000862', 'https://www.kroger.com/product/images/thumbnail/front/0001111000862', 'https://www.kroger.com/product/images/xlarge/back/0001111000862', 'https://www.kroger.com/product/images/large/back/0001111000862', 'https://www.kroger.com/product/images/medium/back/0001111000862', 'https://www.kroger.com/product/images/small/back/0001111000862', 'https://www.kroger.com/product/images/thumbnail/back/0001111000862', 'https://www.kroger.com/product/images/xlarge/right/0001111000862', 'https://www.kroger.com/product/images/large/right/0001111000862', 'https://www.kroger.com/product/images/medium/right/0001111000862', 'https://www.kroger.com/product/images/small/right/0001111000862', 'https://www.kroger.com/product/images/thumbnail/right/0001111000862', 'https://www.kroger.com/product/images/xlarge/left/0001111000862', 'https://www.kroger.com/product/images/large/left/0001111000862', 'https://www.kroger.com/product/images/medium/left/0001111000862', 'https://www.kroger.com/product/images/small/left/0001111000862', 'https://www.kroger.com/product/images/thumbnail/left/0001111000862']"
0001111002480,0001111002480,['Snacks'],Simple Truth,Simple Truth® Sea Salt Roasted Deluxe Mixed Nuts,UNITED STATES,FALSE,16 oz,,NO NON-GMO CLAIM,NO,Ambient,FALSE,"ONCE BAG IS OPENED, REFRIGERATE OR CONSUME WITHIN 7 DAYS FOR OPTIMUM FRESHNESS","['https://www.kroger.com/product/images/xlarge/front/0001111002480', 'https://www.kroger.com/product/images/large/front/0001111002480', 'https://www.kroger.com/product/images/medium/front/0001111002480', 'https://www.kroger.com/product/images/small/front/0001111002480', 'https://www.kroger.com/product/images/thumbnail/front/0001111002480', 'https://www.kroger.com/product/images/xlarge/right/0001111002480', 'https://www.kroger.com/product/images/large/right/0001111002480', 'https://www.kroger.com/product/images/medium/right/0001111002480', 'https://www.kroger.com/product/images/small/right/0001111002480', 'https://www.kroger.com/product/images/thumbnail/right/0001111002480', 'https://www.kroger.com/product/images/xlarge/back/0001111002480', 'https://www.kroger.com/product/images/large/back/0001111002480', 'https://www.kroger.com/product/images/medium/back/0001111002480', 'https://www.kroger.com/product/images/small/back/0001111002480', 'https://www.kroger.com/product/images/thumbnail/back/0001111002480', 'https://www.kroger.com/product/images/xlarge/left/0001111002480', 'https://www.kroger.com/product/images/large/left/0001111002480', 'https://www.kroger.com/product/images/medium/left/0001111002480', 'https://www.kroger.com/product/images/small/left/0001111002480', 'https://www.kroger.com/product/images/thumbnail/left/0001111002480']"
0001111013104,0001111013104,['Breakfast'],Kroger,Kroger® Frosted Strawberries Toaster Treats,UNITED STATES,FALSE,12 ct,,,NO,Ambient,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0001111013104', 'https://www.kroger.com/product/images/large/front/0001111013104', 'https://www.kroger.com/product/images/medium/front/0001111013104', 'https://www.kroger.com/product/images/small/front/0001111013104', 'https://www.kroger.com/product/images/thumbnail/front/0001111013104', 'https://www.kroger.com/product/images/xlarge/back/0001111013104', 'https://www.kroger.com/product/images/large/back/0001111013104', 'https://www.kroger.com/product/images/medium/back/0001111013104', 'https://www.kroger.com/product/images/small/back/0001111013104', 'https://www.kroger.com/product/images/thumbnail/back/0001111013104', 'https://www.kroger.com/product/images/xlarge/right/0001111013104', 'https://www.kroger.com/product/images/large/right/0001111013104', 'https://www.kroger.com/product/images/medium/right/0001111013104', 'https://www.kroger.com/product/images/small/right/0001111013104', 'https://www.kroger.com/product/images/thumbnail/right/0001111013104', 'https://www.kroger.com/product/images/xlarge/top/0001111013104', 'https://www.kroger.com/product/images/large/top/0001111013104', 'https://www.kroger.com/product/images/medium/top/0001111013104', 'https://www.kroger.com/product/images/small/top/0001111013104', 'https://www.kroger.com/product/images/thumbnail/top/0001111013104', 'https://www.kroger.com/product/images/xlarge/left/0001111013104', 'https://www.kroger.com/product/images/large/left/0001111013104', 'https://www.kroger.com/product/images/medium/left/0001111013104', 'https://www.kroger.com/product/images/small/left/0001111013104', 'https://www.kroger.com/product/images/thumbnail/left/0001111013104']"
0000000004664,0000000004664,['Produce'],Fresh Tomatoes,Fresh On the Vine Red Tomatoes by the Bunch (4-5 tomatoes per bunch),CANADA; MEXICO; UNITED STATES,FALSE,1 lb,,,NO,Ambient,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0000000004664', 'https://www.kroger.com/product/images/large/front/0000000004664', 'https://www.kroger.com/product/images/medium/front/0000000004664', 'https://www.kroger.com/product/images/small/front/0000000004664', 'https://www.kroger.com/product/images/thumbnail/front/0000000004664', 'https://www.kroger.com/product/images/xlarge/back/0000000004664', 'https://www.kroger.com/product/images/large/back/0000000004664', 'https://www.kroger.com/product/images/medium/back/0000000004664', 'https://www.kroger.com/product/images/small/back/0000000004664', 'https://www.kroger.com/product/images/thumbnail/back/0000000004664', 'https://www.kroger.com/product/images/xlarge/right/0000000004664', 'https://www.kroger.com/product/images/large/right/0000000004664', 'https://www.kroger.com/product/images/medium/right/0000000004664', 'https://www.kroger.com/product/images/small/right/0000000004664', 'https://www.kroger.com/product/images/thumbnail/right/0000000004664', 'https://www.kroger.com/product/images/xlarge/left/0000000004664', 'https://www.kroger.com/product/images/large/left/0000000004664', 'https://www.kroger.com/product/images/medium/left/0000000004664', 'https://www.kroger.com/product/images/small/left/0000000004664', 'https://www.kroger.com/product/images/thumbnail/left/0000000004664']"
0000000004225,0000000004225,"['Produce', 'International', 'Produce']",Fresh Avocados,Fresh Large Ripe Avocado,CHILE; MEXICO; PERU; UNITED STATES,FALSE,1 each,,NO NON-GMO CLAIM,NO,Ambient,FALSE,none,"['https://www.kroger.com/product/images/xlarge/back/0000000004225', 'https://www.kroger.com/product/images/large/back/0000000004225', 'https://www.kroger.com/product/images/medium/back/0000000004225', 'https://www.kroger.com/product/images/small/back/0000000004225', 'https://www.kroger.com/product/images/thumbnail/back/0000000004225', 'https://www.kroger.com/product/images/xlarge/front/0000000004225', 'https://www.kroger.com/product/images/large/front/0000000004225', 'https://www.kroger.com/product/images/medium/front/0000000004225', 'https://www.kroger.com/product/images/small/front/0000000004225', 'https://www.kroger.com/product/images/thumbnail/front/0000000004225', 'https://www.kroger.com/product/images/xlarge/right/0000000004225', 'https://www.kroger.com/product/images/large/right/0000000004225', 'https://www.kroger.com/product/images/medium/right/0000000004225', 'https://www.kroger.com/product/images/small/right/0000000004225', 'https://www.kroger.com/product/images/thumbnail/right/0000000004225', 'https://www.kroger.com/product/images/xlarge/left/0000000004225', 'https://www.kroger.com/product/images/large/left/0000000004225', 'https://www.kroger.com/product/images/medium/left/0000000004225', 'https://www.kroger.com/product/images/small/left/0000000004225', 'https://www.kroger.com/product/images/thumbnail/left/0000000004225']"
